id,location,name,type_name,inventory_status_code,st_std_desc,clli_code,st_clli_cd,st_co_id,st_ownr_co_nm,created_user,created_date,last_edited_user,last_edited_date
STRUCTUREd057808683594ed98cf80f00b285b36a,0101000000F4C0241BA3235AC0A0E9689928384940,SPJCT:SPJCT:C209422,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,,,,2022-04-08T07:38:14
STRUCTURE49017F75686D4B4C9FC79BC18613BDE2,010100000040B01EB5F1235AC0489509DBE9374940,SPJCT:SPJCT::7153114,SPAN JUNCTION,IPL,,,,REGNSK45,SASKTEL,,,,2022-11-10T21:07:30
STRUCTURE27099434190D4642B45B8A255942E272,01010000001882AB886F235AC0B09DB0B0DF374940,SPJCT:SPJCT::11560842,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,MACAM1,2021-07-22T11:44:55,,2025-03-17T01:28:57
STRUCTUREC2EB55E765C74B7E9DC1B87A87FC17FE,01010000007444C70659235AC0A86EC01741384940,PJCT:SPJCT::10502282,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,WIESJ3,2019-06-17T15:45:46,,2023-11-03T01:42:06
STRUCTURE8ED9B3616A574FE39AFD6F46AE935B9B,010100000080FF2272BE235AC0F8A9624B0B384940,PJCT:SPJCT::10502287,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,WIESJ3,2019-06-17T16:06:21,,2023-11-03T01:42:06
STRUCTURE8BD800E80DBB4209852ADC863750C360,0101000000E8B6628492235AC0A8CA85A4F8374940,PJCT:SPJCT::10523084,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,WIESJ3,2019-07-04T09:02:12,,2023-11-03T01:42:18
STRUCTURE3f45289e274c4133a5a7b743ac727b4a,0101000000F030F455A0235AC0087E6FCEA6374940,SPJCT:SPJCT:C216621,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,,,,2022-04-08T07:33:33
STRUCTURE5D46D12972F34A2681CEDAE32DE3DF9B,01010000008473CB16C2235AC0A838D735BC374940,SPJCT:SPJCT::7153115,SPAN JUNCTION,IPL,,,,REGNSK45,SASKTEL,,,,2025-03-18T06:27:38
STRUCTURE459398ABE03A489AA178781376D10283,010100000068953D62A4235AC0E8F15FB3AB374940,PJCT:SPJCT::11235083,SPAN JUNCTION,PDA,,REGNSK,,REGNSK45,SASKTEL,JOSHH1,2020-12-10T16:01:29,,2025-03-11T04:40:45
STRUCTURE8B217EC2EAEE4353A8176C1900635410,0101000000F8AA970A8A235AC098FF5DFAB2374940,PJCT:SPJCT::10305189,SPAN JUNCTION,ABD,,REGNSK,,REGNSK45,SASKTEL,VUDUP1,2019-01-22T10:44:25,,2022-11-10T04:34:31
STRUCTURE9008D62536AD43898028E003174D6D64,010100000084CAB7254F235AC0C8AD5A50DA374940,PJCT:SPJCT::10465515,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,WILLJ2,2019-05-23T10:24:19,,2022-11-10T21:03:17
STRUCTURE3d68dac8ea04421e960b7ac5e1f9abdd,0101000000B4227DCF72235AC0E06FA87028384940,SPJCT:SPJCT:C213416,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,,,,2022-04-08T07:38:26
STRUCTURE6968D2487CF642E3A00416B32A737D6F,010100000068D041DE85235AC040E2C5FFB3374940,SPJCT:SPJCT::8141914,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,,,,2022-11-10T21:18:30
STRUCTUREaaab4d46c047456793f401226265581f,0101000000ECC8A2FA98235AC0D8043911C5374940,SPJCT:SPJCT:C216301,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,,,,2022-04-08T07:34:35
