id,location,name,specification,type_name,location_code,inventory_status_code,work_order_name,work_order_item_number,account_code,clli_code,st_clli_cd,st_co_id,st_ownr_co_nm,st_vntge_yr,st_rmks,st_sap_stk_id,st_trmnl_id,st_sap_actvy_cd,st_sap_ntwk_id,st_envmt_cd,st_fbr_grnd_pnt_ind,st_rte_pdstl_exch_txt
STRUCTURE_REG16/266973,0101000000D81420EE902A5AC020656BBAF43B4940,PED:JSPED:C211112,,JOINT STANDARD PED,LOC_C6212117,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,UNK,,,BU,,"UNK, REGNSK"
STRUCTURE_REG16/266975,01010000001CC6DBB2722B5AC0B83E02A5BF3B4940,PED:JSPED:C203465,,JOINT STANDARD PED,LOC_C6204620,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 720 SWEENEY ST,,,BU,,"R 720 SWEENEY ST, REGNSK"
STRUCTURE_REG16/266985,0101000000C88F397B192B5AC058B3B8132D3B4940,PED:JTPED:C198304,,JOINT SPC TRF PED,LOC_C6199538,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,UNK,,,BU,,"UNK, REGNSK"
STRUCTURE_REG16/266989,0101000000D0E3400DF42A5AC0F07822415E3C4940,PED:JSPED:C206796,,JOINT STANDARD PED,LOC_C6207898,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 67 MCSHERRY CRES,,,BU,,"R 67 MCSHERRY CRES, REGNSK"
STRUCTURE_REG16/273082,0101000000805A32E5682C5AC0C018B2A3F9394940,PED:SST::9231530,,COMPANY STEEL STAKE,LOC_8743943,IPL,,0,LACC_ATRENCH_F,REGNSK,,REGNSK01,SASKTEL,2016,LENGTH=DEPTH,100791,UNK,0010,983509,BU,,"UNK, REGNSK"
STRUCTURE_REG16/274884,010100000094D1DECC47295AC00869B42C8A3B4940,PED:JSPED::6700318,,JOINT STANDARD PED,LOC_6639881,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,2012,,,S 151 DEMARCO POINTE,0010,963983,BU,,"S 151 DEMARCO POINTE, REGNSK"
STRUCTURE_REG16/278925,0101000000384FD73B052B5AC0804498172A3C4940,PED:JSPED:C207286,,JOINT STANDARD PED,LOC_C6208395,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 134 TRUDELLE CRES,,,BU,,"R 134 TRUDELLE CRES, REGNSK"
STRUCTURE_REG16/280464,0101000000A0D89A45992B5AC0D84EA71E243C4940,PED:JSPED:C197012,,JOINT STANDARD PED,LOC_C6198251,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 458 FULTON DR,,,BU,,"R 458 FULTON DR, REGNSK"
STRUCTURE_REG16/280858,0101000000948F7CDCF92B5AC030B27C4E5B3C4940,PED:JSPED:C194274,,JOINT STANDARD PED,LOC_C6195574,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 418 HANSEN DR,,,BU,,"R 418 HANSEN DR, REGNSK"
STRUCTURE_REG16/281024,010100000010CFFA10EB2A5AC01011E314213B4940,PED:JSPED:C200046,,JOINT STANDARD PED,LOC_C6201278,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 121 KRAUSS ST,,,BU,,"R 121 KRAUSS ST, REGNSK"
STRUCTURE_REG16/281656,0101000000CC95E343402B5AC0203534A5423C4940,PED:JSPED:C207486,,JOINT STANDARD PED,LOC_C6208575,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 272 FULTON DR,,,BU,,"R 272 FULTON DR, REGNSK"
STRUCTURE_REG16/283608,010100000050D34CFC732B5AC028902756C13B4940,PED:SST::11500414,,COMPANY STEEL STAKE,LOC_C6204643,PDA,REGN106535-0010,23229492,LACC_ATRENCH_F,REGNSK,,REGNSK04,SASKTEL,2021,LENGTH=DEPTH,101057,,0010,106535,BU,,", REGNSK"
STRUCTURE_REG16/285261,0101000000C8106FB9B4295AC078D87E7E143A4940,PED:SST:C203789,,COMPANY STEEL STAKE,LOC_C6205260,IPL,,0,LACC_ATRENCH_C,REGNSK,,REGNSK01,SASKTEL,,LENGTH=DEPTH,101057,UNK,,,BU,,"UNK, REGNSK"
STRUCTURE_REG16/285335,0101000000945BEF71052C5AC0189A90E8BB3B4940,PED:SST::10589332,,COMPANY STEEL STAKE,LOC_10209865,IPL,,0,LACC_ATRENCH_C,REGNSK,,REGNSK04,SASKTEL,,LENGTH=DEPTH,100791,,,,BU,,", REGNSK"
STRUCTURE_REG16/285947,0101000000A4267FFFBF2A5AC0D89CFCE3AB3B4940,PED:JSPED:C198242,,JOINT STANDARD PED,LOC_C6199466,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 14 MELROSE PLACE,,,BU,,"R 14 MELROSE PLACE, REGNSK"
STRUCTURE_REG16/286209,01010000005491C0D5702B5AC0F871C1A7A63B4940,PED:JSPED:C197976,,JOINT STANDARD PED,LOC_C6199204,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 80 RITTER AVE,,,BU,,"R 80 RITTER AVE, REGNSK"
STRUCTURE_REG16/286747,0101000000C0211CFFBA2B5AC050C60880E83B4940,PED:JSPED:C197530,,JOINT STANDARD PED,LOC_C6198771,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 622 DOROTHY ST,,,BU,,"R 622 DOROTHY ST, REGNSK"
STRUCTURE_REG16/286831,0101000000345F8792922B5AC060EA2367563C4940,PED:JSPED:C197121,,JOINT STANDARD PED,LOC_C6198355,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 191 PAYNTER CRES,,,BU,,"R 191 PAYNTER CRES, REGNSK"
STRUCTURE_REG16/286832,0101000000A4B3427AD22B5AC088459398DB3B4940,PED:JSPED:C197630,,JOINT STANDARD PED,LOC_C6198870,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 633 TOOTHILL ST,,,BU,,"R 633 TOOTHILL ST, REGNSK"
STRUCTURE_REG16/286846,010100000068FD65AB162A5AC07071A6D9613C4940,PED:JSPED:C224320,,JOINT STANDARD PED,LOC_C6225200,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 14 OSBORNE CRES,,,BU,,"R 14 OSBORNE CRES, REGNSK"
STRUCTURE_REG16/286847,01010000005847F7A1222A5AC098F8C8254F3C4940,PED:JSPED:C227117,,JOINT STANDARD PED,LOC_C6227973,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 59 OSBORNE CRES,,,BU,,"R 59 OSBORNE CRES, REGNSK"
STRUCTURE_REG16/286848,010100000034586B3A182A5AC0288B60284F3C4940,PED:JSPED:C227129,,JOINT STANDARD PED,LOC_C6227986,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 47 OSBORNE CRES,,,BU,,"R 47 OSBORNE CRES, REGNSK"
STRUCTURE_REG16/286897,0101000000EC0CC5B0722B5AC0B025D7C6B83B4940,PED:SST:C203497,,COMPANY STEEL STAKE,LOC_C6204651,IPL,,0,LACC_ATRENCH_C,REGNSK,,REGNSK04,SASKTEL,,LENGTH=DEPTH,101057,UNK,,,BU,,"UNK, REGNSK"
STRUCTURE_REG16/286904,010100000058AC66A5A22A5AC09056FB2FA83B4940,PED:JSPED:C198185,,JOINT STANDARD PED,LOC_C6199409,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,UNK,,,BU,,"UNK, REGNSK"
STRUCTURE_REG16/286922,01010000000C6FC6FE4C2A5AC0E093981E4F3C4940,PED:JSPED:C228410,,JOINT STANDARD PED,LOC_C6229239,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 34 FORSYTH CRES,,,BU,,"R 34 FORSYTH CRES, REGNSK"
STRUCTURE_REG16/286935,01010000004873A0916C2B5AC038569EB7663C4940,PED:JTPED:C197427,,JOINT SPC TRF PED,LOC_C6198670,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,UNK,,,BU,,"UNK, REGNSK"
STRUCTURE_REG16/286940,0101000000982C207A932A5AC02009358FB83A4940,PED:JSPED:C210603,,JOINT STANDARD PED,LOC_C6211624,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 5951 MALLARD WAY,,,BU,,"R 5951 MALLARD WAY, REGNSK"
STRUCTURE_REG16/286957,01010000006C537120BA2A5AC0608CA53BD43A4940,PED:JSPED:C210472,,JOINT STANDARD PED,LOC_C6211494,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,UNK,,,BU,,"UNK, REGNSK"
STRUCTURE_REG16/286970,010100000028DB5FF4572B5AC018026CEC443C4940,PED:JTPED:C207234,,JOINT SPC TRF PED,LOC_C6208338,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,UNK,,,BU,,"UNK, REGNSK"
STRUCTURE_REG16/286971,010100000098341D6C772C5AC0881648D9AD3B4940,PED:JTPED:C211929,,JOINT SPC TRF PED,LOC_C6212933,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,UNK,,,BU,,"UNK, REGNSK"
STRUCTURE_REG16/286979,0101000000641F54773F2A5AC0005186D05F3C4940,PED:JSPED:C224213,,JOINT STANDARD PED,LOC_C6225091,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 434 PALLISER ST,,,BU,,"R 434 PALLISER ST, REGNSK"
STRUCTURE_REG16/290098,0101000000C8E1B1A4FE285AC0889C9643FE3A4940,PED:SST::10593219,,COMPANY STEEL STAKE,LOC_C6202866,IPL,,0,LACC_ATRENCH_F,REGNSK,,REGNSK01,SASKTEL,,LENGTH=DEPTH,100791,"R 4101 5TH AVE
",,,BU,,"R 4101 5TH AVE
, REGNSK"
STRUCTURE_REG16/290157,010100000000C2FB6860295AC0980DB926583B4940,PED:JUPED::11648846,,JOINT TRF PED,LOC_11139785,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,2021,,,,0000,814833,,,", REGNSK"
STRUCTURE_REG16/291484,0101000000AC40B2889A2B5AC08847FEA7F53B4940,PED:JUPED::11242455,,JOINT TRF PED,LOC_C6202348,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,2020,,,,,,BU,,", REGNSK"
STRUCTURE_REG16/293066,010100000000643ED91A295AC0A02DCC212D3A4940,PED:SST::10260714,,COMPANY STEEL STAKE,LOC_8029989,IPL,,0,LACC_ATRENCH_F,REGNSK,REGNSKJ6389,REGNSK01,SASKTEL,2018,,127035,UNK,0000,805680,BU,N/A,"UNK, REGNSK"
STRUCTURE_REG16/294781,0101000000BC2673456C2C5AC0F8B6B415193A4940,PED:JSPED::9021352,,JOINT STANDARD PED,LOC_8744592,IPL,,0,,REGNSK,,REGNSK01,SASKPOWER,2016,,,UNK,0010,983509,BU,,"UNK, REGNSK"
STRUCTURE_REG16/294884,0101000000E81458BE762A5AC000BF4548D93B4940,PED:JLPED::8978413,,JOINT LIGHT PED,LOC_8704920,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,2016,,,UNK,0010,983961,BU,,"UNK, REGNSK"
STRUCTURE_REG16/296342,0101000000F473C8D5612B5AC0206B5856113C4940,PED:SST:C196728,,COMPANY STEEL STAKE,LOC_C6197971,IPL,,0,LACC_ATRENCH_C,REGNSK,,REGNSK04,SASKTEL,,LENGTH=DEPTH,101057,UNK,,,BU,,"UNK, REGNSK"
STRUCTURE_REG16/297572,010100000008007E5B2A2A5AC0009380DD583C4940,PED:JSPED:C224284,,JOINT STANDARD PED,LOC_C6225162,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 67 OSBORNE CRES,,,BU,,"R 67 OSBORNE CRES, REGNSK"
STRUCTURE_REG16/297675,0101000000743F197607295AC0C0189B07443B4940,PED:SST:C202253,,COMPANY STEEL STAKE,LOC_C6203433,IPL,,0,LACC_ATRENCH_C,REGNSK,,REGNSK01,SASKTEL,,NOT IN MARTENS,101057,UNK,,,BU,,"UNK, REGNSK"
STRUCTURE_REG16/298572,0101000000D0859A19642B5AC03028281F243C4940,PED:JSPED:C196977,,JOINT STANDARD PED,LOC_C6198214,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 362 FULTON DR,,,BU,,"R 362 FULTON DR, REGNSK"
STRUCTURE_REG16/300003,0101000000C4F8425E152B5AC058CA4C85523A4940,PED:JSPED:C223544,,JOINT STANDARD PED,LOC_C6224434,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 6408 DEWDNEY AVE,,,BU,,"R 6408 DEWDNEY AVE, REGNSK"
STRUCTURE_REG16/300312,010100000088BFABEDFF2B5AC04852EFCF633A4940,PED:JSPED:C221811,,JOINT STANDARD PED,LOC_C6222710,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 1340 COURTNEY ST,,,BU,,"R 1340 COURTNEY ST, REGNSK"
STRUCTURE_REG16/300704,0101000000CCCD8DA2542B5AC0706CEF20243C4940,PED:JSPED:C196959,,JOINT STANDARD PED,LOC_C6198200,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 330 FULTON DR,,,BU,,"R 330 FULTON DR, REGNSK"
STRUCTURE_REG16/301552,0101000000C86B282CA62B5AC088153D76EB3B4940,PED:SST:C198943,,COMPANY STEEL STAKE,LOC_C6200176,IPL,,0,LACC_ATRENCH_C,REGNSK,,REGNSK04,SASKTEL,,LENGTH=DEPTH,101057,R 627 DOROTHY ST,,,BU,,"R 627 DOROTHY ST, REGNSK"
