id,location,name,specification,type_name,location_code,inventory_status_code,work_order_name,work_order_item_number,account_code,height,clli_code,st_uom_cd,st_pl_cl_cd,st_clli_cd,st_co_id,st_ownr_co_nm,st_vntge_yr,st_rmks,st_sap_stk_id,st_rte_id,st_bond_to_neut_cd,st_trmnl_id,st_pc_qty,st_sap_actvy_cd,st_sap_ntwk_id,st_envmt_cd
STRUCTURE_REG16/199948,0101000000DCE0BF04442A5AC0A8D6DAECA93B4940,POL:PPOLE:C220998,,POWER,LOC_C6221934,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/199950,01010000004879D54C9C295AC0108A1CAB1F3B4940,POL:PPOLE:C230049,,POWER,LOC_C6230866,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/199951,0101000000D02DED34AF295AC070524D8D333B4940,POL:PPOLE:C230084,,POWER,LOC_C6230900,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,BN,,,,,AE
STRUCTURE_REG16/199952,0101000000B8583FA0CD295AC0282011B3543A4940,POL:PPOLE:C212963,,POWER,LOC_C6213966,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/199953,0101000000C48D4EA2CD295AC0D8CED4B16B3A4940,POL:PPOLE:C212976,,POWER,LOC_C6213980,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/199969,010100000010DA9DAE61295AC060AB2EC1983B4940,POL:PPOLE:C193300,,POWER,LOC_C6194638,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/201019,0101000000A4C6236F5B2A5AC02068583BB33A4940,POL:PPOLE:C226647,,POWER,LOC_C6227510,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/201178,010100000054678A40822A5AC06846BF50DC3A4940,POL:PPOLE:C200729,,POWER,LOC_C6201920,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/201543,0101000000604EA5A6EA2B5AC020A9DAB5173B4940,POL:PPOLE:C196308,,POWER,LOC_C6197579,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/201544,01010000004C8253F9E02B5AC058181CA46E3A4940,POL:PPOLE:C219022,,POWER,LOC_C6219980,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,BN,,,,,AE
STRUCTURE_REG16/201562,0101000000C48204BDBE2B5AC040C54CD0D63A4940,POL:PPOLE:C196365,,POWER,LOC_C6197634,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/202371,010100000040C8AEF1CF285AC0606B7CB4253B4940,POL:PPOLE:C195126,,POWER,LOC_C6196419,IPL,,0,,,REGNSK,m,,,REGNSK01,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/212349,0101000000A8563D98C8295AC02872CBF8CB394940,POL:PPOLE:C192659,,POWER,LOC_C6194038,IPL,,0,,,REGNSK,m,,,REGNSK01,SASKPOWER,,,,,BN,,,,,AE
STRUCTURE_REG16/212361,01010000000818EAD110295AC0687EF95A933A4940,POL:PPOLE:C197366,,POWER,LOC_C6198612,IPL,,0,,,REGNSK,m,,,REGNSK01,SASKPOWER,,,,,BN,,,,,AE
STRUCTURE_REG16/212420,0101000000A085FE1B912A5AC0706212120F3B4940,POL:PPOLE:C200785,,POWER,LOC_C6201977,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
