id,name,in_structure,out_structure
ug_route/159234,OSP:FBSP:C254285,st_struct_pedestal/67006,mywcom_route_junction/20809
ug_route/159235,OSP:FBSP:C263601,st_struct_pedestal/67015,building/48710
ug_route/159236,OSP:FBSP:C257331,mywcom_route_junction/20817,st_struct_pedestal/66842
ug_route/159237,OSP:BUSP::13893050,st_struct_pedestal/66951,building/48687
ug_route/159238,OSP:FBSP:C253967,mywcom_route_junction/20867,st_struct_pedestal/66844
ug_route/159239,OSP:BUSP::12358434,mywcom_route_junction/20869,st_struct_pedestal/66895
ug_route/159240,OSP:FBSP:C259071,mywcom_route_junction/20805,st_struct_pedestal/66855
ug_route/159241,OSP:BUSP::12672324,mywcom_route_junction/20827,st_struct_pedestal/66914
ug_route/159242,OSP:FBSP:C267533,st_struct_pedestal/66965,st_struct_pedestal/66850
ug_route/159243,OSP:BUSP:C237407,mywcom_route_junction/20872,pole/40469
ug_route/159244,OSP:FBSP:C263092,st_struct_pedestal/66951,building/48687
ug_route/159245,OSP:BUSP::16118654,cabinet/2412,cabinet/2413
ug_route/159246,OSP:BUSP::12870340,mywcom_route_junction/20827,st_struct_pedestal/66914
ug_route/159247,OSP:FBSP:C262718,mywcom_route_junction/20830,st_struct_pedestal/66857
ug_route/159248,OSP:BUSP::12358016,mywcom_route_junction/20871,st_struct_pedestal/66835
ug_route/159249,OSP:FBSP:C263105,st_struct_pedestal/66951,building/48700
ug_route/159250,OSP:FBSP:C253943,mywcom_route_junction/20809,st_struct_pedestal/66895
ug_route/159251,OSP:BUSP::13345525,st_struct_pedestal/67012,building/48689
ug_route/159252,OSP:FBSP:C259107,st_struct_pedestal/66901,st_struct_pedestal/66952
ug_route/159253,OSP:FBSP::8079174,st_struct_pedestal/66936,st_struct_pedestal/66997
ug_route/159254,OSP:BUSP::13893048,st_struct_pedestal/66951,building/48700
ug_route/159255,OSP:BUSP::12736584,st_struct_pedestal/66929,st_struct_pedestal/66883
ug_route/159256,OSP:BUSP::12730609,mywcom_route_junction/20877,st_struct_pedestal/66842
ug_route/159257,OSP:FBSP:C259068,mywcom_route_junction/20805,st_struct_pedestal/66819
ug_route/159258,OSP:FBSP:C263464,st_struct_pedestal/66818,st_struct_pedestal/67007
ug_route/159259,OSP:BUSP:C263850,st_struct_pedestal/66973,st_struct_pedestal/66974
ug_route/159260,OSP:BUSP::12358429,mywcom_route_junction/20868,st_struct_pedestal/66844
ug_route/159261,OSP:BUSP::12358012,st_struct_pedestal/66887,mywcom_route_junction/20871
ug_route/159262,OSP:FBSP:C263153,building/48691,mywcom_route_junction/20848
ug_route/159263,OSP:FBSP:C259309,mywcom_route_junction/20847,st_struct_pedestal/66992
ug_route/159264,OSP:BUSP::13310982,mywcom_route_junction/20803,st_struct_pedestal/66910
ug_route/159265,OSP:BUSP::12736278,st_struct_pedestal/66881,st_struct_pedestal/66837
ug_route/159266,OSP:BUSP::12358056,st_struct_pedestal/66914,st_struct_pedestal/66946
ug_route/159267,OSP:BUSP::12733689,st_struct_pedestal/66904,st_struct_pedestal/66863
ug_route/159268,OSP:BUSP::12736277,st_struct_pedestal/66837,st_struct_pedestal/66862
ug_route/159269,OSP:BUSP::12358062,st_struct_pedestal/66965,st_struct_pedestal/66850
ug_route/159270,OSP:BUSP::12733685,st_struct_pedestal/66818,st_struct_pedestal/67007
ug_route/159271,OSP:FBSP:C263488,st_struct_pedestal/66887,mywcom_route_junction/20873
