id,name,in_structure,out_structure
oh_route/93593,OSP:MESS:C654471,pole/53864,pole/53996
oh_route/93594,OSP:MESS:C652931,pole/52243,building/66153
oh_route/93595,OSP:MESS::11098852,pole/52424,building/68821
oh_route/93596,OSP:MESS:C637050,pole/54314,pole/53806
oh_route/93597,OSP:MESS:C638849,pole/54028,pole/52283
oh_route/93598,OSP:MESS:C647914,pole/53705,pole/53065
oh_route/93599,OSP:MESS:C650058,pole/53024,pole/54488
oh_route/93600,OSP:MESS:C667733,pole/52763,pole/53357
oh_route/93601,OSP:MESS::8088773,pole/54267,pole/53683
oh_route/93602,OSP:MESS:C644789,pole/53581,pole/54142
oh_route/93603,OSP:MESS:C650943,pole/52867,building/68739
oh_route/93604,OSP:MESS:C666146,pole/54053,pole/52667
oh_route/93605,OSP:MESS:C652624,pole/54439,pole/54229
oh_route/93606,OSP:MESS::8148937,pole/52718,pole/52890
oh_route/93607,OSP:MESS:C647521,pole/53437,pole/52437
oh_route/93608,OSP:MESS:C646353,pole/54354,pole/53555
oh_route/93609,OSP:MESS:C666397,pole/53782,pole/53332
oh_route/93610,OSP:MESS:C666242,pole/54080,pole/52819
oh_route/93611,OSP:MESS:C651009,pole/52275,building/68665
oh_route/93612,OSP:MESS::8163158,pole/52680,pole/53103
oh_route/93613,OSP:MESS:C644562,pole/52443,pole/54259
oh_route/93614,OSP:MESS:C646381,pole/54033,pole/52375
oh_route/93615,OSP:MESS::16020415,pole/53862,mywcom_route_junction/27107
oh_route/93616,OSP:MESS::12343336,pole/53358,pole/52470
oh_route/93617,OSP:MESS:C662420,pole/53139,building/68086
oh_route/93618,OSP:MESS:C705396,pole/54466,building/68573
oh_route/93619,OSP:MESS:C645159,pole/54008,pole/54100
oh_route/93620,OSP:MESS::15998695,pole/53058,building/66134
oh_route/93621,OSP:MESS:C648342,pole/53049,pole/53231
oh_route/93622,OSP:MESS:C652732,pole/52366,pole/53576
oh_route/93623,OSP:MESS:C651236,pole/52768,pole/53209
oh_route/93624,OSP:MESS:C647288,pole/52871,pole/52566
oh_route/93625,OSP:MESS:C651668,pole/53277,pole/52515
oh_route/93626,OSP:MESS:C649033,pole/53525,pole/53166
oh_route/93627,OSP:MESS:C639896,pole/53083,pole/53039
oh_route/93628,OSP:MESS:C662481,pole/52779,building/67825
oh_route/93629,OSP:MESS:C668864,pole/54510,building/68786
oh_route/93630,OSP:MESS::8091347,pole/54432,pole/53597
oh_route/93631,OSP:MESS::8456467,pole/53454,building/66143
oh_route/93632,OSP:MESS:C651667,pole/53621,pole/53277
oh_route/93633,OSP:MESS:C646295,pole/54346,pole/53460
oh_route/93634,OSP:MESS::9421945,mywcom_route_junction/27944,pole/53302
oh_route/93635,OSP:MESS::8088782,pole/53129,pole/53627
oh_route/93636,OSP:MESS:C651632,mywcom_route_junction/27617,building/66748
oh_route/93637,OSP:MESS:C641635,pole/53032,pole/52848
oh_route/93638,OSP:MESS::8091019,pole/53914,pole/54388
oh_route/93639,OSP:MESS:C658334,pole/53400,pole/53340
oh_route/93640,OSP:MESS::8091657,pole/54269,pole/53710
oh_route/93641,OSP:MESS:C643419,pole/54163,pole/53351
oh_route/93642,OSP:MESS:C655097,pole/52910,building/66218
oh_route/93643,OSP:MESS::8119178,pole/54408,pole/54056
oh_route/93644,OSP:MESS:C651790,pole/54058,pole/53295
oh_route/93645,OSP:MESS:C637044,pole/53682,pole/53694
oh_route/93646,OSP:MESS:C651928,pole/53930,pole/54177
oh_route/93647,OSP:MESS:C641807,pole/53113,pole/53006
oh_route/93648,OSP:MESS:C650064,pole/54419,pole/52225
oh_route/93649,OSP:MESS::7627973,pole/53572,pole/53798
oh_route/93650,OSP:MESS:C651069,pole/52471,pole/52786
oh_route/93651,OSP:MESS:C637164,pole/52365,pole/53615
oh_route/93652,OSP:MESS::8081812,pole/54329,pole/53286
oh_route/93653,OSP:MESS:C640903,pole/53587,pole/52266
oh_route/93654,OSP:MESS:C653503,pole/53969,building/68550
oh_route/93655,OSP:MESS:C652353,pole/52864,pole/53845
oh_route/93656,OSP:MESS:C647532,pole/53097,pole/52891
oh_route/93657,OSP:MESS:C640670,pole/53909,pole/52350
oh_route/93658,OSP:MESS:C637168,pole/54326,pole/54141
oh_route/93659,OSP:MESS::8091653,pole/53889,pole/53530
oh_route/93660,OSP:MESS:C643479,pole/54425,pole/52827
oh_route/93661,OSP:MESS:C643466,pole/53645,pole/52640
oh_route/93662,OSP:MESS::8091015,pole/53284,pole/53131
oh_route/93663,OSP:MESS:C639844,pole/52318,pole/54538
