id,path,in_structure,out_structure,name,specification,type_name,inventory_status_code,work_order_name,st_std_desc,measured_length,st_ownr_co_nm,st_eas_rmks,st_co_id,st_rmks,st_vntge_yr,sap_pm_order,create_user,created_at,update_user,updated_at
oh_route/181575,010200000006000000CC868ADE1AF25AC080A374EE98244940E8D7BCFB1AF25AC0B05ABBB598244940142494F61AF25AC000EA69A193244940487ED1D91AF25AC0C842154D93244940140F04D51AF25AC03077EC288D244940600BBBD41AF25AC00033F8CB8C244940,pole/53541,pole/52284,OSP:MESS:C706701,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,SWCRSK02,,,,,,,
oh_route/675108,01020000000200000070261C632FEA5AC0E013EC0B9D544940685CA9AE36EA5AC050AE191BA5544940,pole/53147,pole/53423,OSP:MESS:C642344,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,BVFLSK01,,,,,,CHENR1,2021-12-17T06:20:30
oh_route/849812,01020000000200000038FC2175FCF25AC05061990FAC2349400086B2DEF2F25AC078124B16AC234940,pole/53685,pole/52820,OSP:MESS:C643356,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,SWCRSK02,,,,,,,
oh_route/377536,010200000002000000C01D0D7F44F25AC0A80071F48423494004F4828244F25AC080B817AA78234940,pole/52852,pole/53273,OSP:MESS:C657045,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,SWCRSK02,,,,,,,
oh_route/461953,010200000002000000CCA7AF63B3F25AC0009AB53F90244940E87E39A6B3F25AC0303735F683244940,pole/52781,pole/53270,OSP:MESS:C649567,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,SWCRSK02,,,,,,,
oh_route/629781,010200000002000000C472B38E76F25AC06817CE009A254940AC23BB9076F25AC00872944CA6254940,pole/52878,pole/52500,OSP:MESS:C646297,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,SWCRSK02,,,,,,,
oh_route/588804,010200000005000000788C734D81F35AC09843876A912449403CA0876881F35AC090BD6E169124494000AF541F81F35AC070C9052F86244940B43AD81981F35AC008ABBB6385244940A4B319FB80F35AC0203A883385244940,pole/54256,pole/52598,OSP:MESS::8166554,MESSENGER,MESSENGER,IPL,,Aerial Fiber,41.4,SASKTEL,,SWCRSK02,,2014,974757,,,THUND1,2023-11-02T03:41:10
oh_route/872805,010200000002000000F81D927305F35AC0D02D372F06234940940C5B0E0FF35AC050A0B93506234940,pole/52485,pole/53247,OSP:MESS:C653858,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,SWCRSK02,,,,,,,
oh_route/851151,010200000002000000FCC3AC035FF25AC028E9319CBB25494080B83D045FF25AC050ED98FCC7254940,pole/53127,pole/52582,OSP:MESS:C646359,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,SWCRSK02,,,,,,,
oh_route/621959,0102000000020000002CFADF5110F35AC08863F81D3D2449400C7C42FF0FF35AC098E919C030244940,pole/52867,pole/53188,OSP:MESS:C650952,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,SWCRSK02,,,,,,,
oh_route/261231,01020000000200000098FFA86498F15AC028378962EE234940DCCE206698F15AC03825D002E2234940,pole/54050,pole/53181,OSP:MESS:C669126,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,SWCRSK02,,,,,,,
oh_route/444185,010200000002000000D090C8A903F35AC008FF59C8A3254940BC37DE0104F35AC0485E1127B0254940,pole/53453,pole/54490,OSP:MESS:C644754,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,SWCRSK02,,,,,,,
oh_route/778445,010200000002000000BC55FD687DEA5AC020D19FCBCE544940C402B5D186EA5AC0A8D3AE9ACB544940,pole/53961,pole/52412,OSP:MESS:C642277,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,BVFLSK01,,,,,,CHENR1,2021-12-17T06:20:30
oh_route/862133,010200000002000000BCF6C7D986F25AC0984483A26625494044A36DC27EF25AC00834E36A6D254940,pole/54323,pole/54137,OSP:MESS:C644571,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,SWCRSK02,,,,,,,
oh_route/862108,0102000000020000009C9204C595F35AC0581523B051244940D4227B1A96F35AC0B87501135E244940,pole/52320,pole/53571,OSP:MESS:C654868,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,SWCRSK02,,,,,,,
oh_route/592880,01020000000200000034A935BB98F35AC0A0725DAFAB2349401446BA6CA2F35AC0C877A1A7AB234940,pole/52385,pole/52998,OSP:MESS:C643566,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,SWCRSK02,,,,,,,
oh_route/820248,0102000000020000009CEA198DFFF25AC0D0F5B096092549408888093AFFF25AC0E001692FFD244940,pole/52351,pole/53389,OSP:MESS:C642198,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,SWCRSK02,,,,,,,
oh_route/446837,010200000002000000D4FA1A3005F25AC068433AB3D2254940C0DA4B2C06F25AC0B88CE514DF254940,pole/52494,pole/53887,OSP:MESS::8081822,MESSENGER,MESSENGER,IPL,,Aerial Copper,42.25167584,SASKTEL,,SWCRSK02,,2014,0,,,,
