id,name,in_structure,out_structure
ug_route/165490,OSP:BUSP:C640324,st_struct_pedestal/68512,st_struct_pedestal/67211
ug_route/165491,OSP:BUSP:C670023,st_struct_buried_splice_location/2725,building/51108
ug_route/165492,OSP:BUSP::8383514,mywcom_route_junction/21138,building/49606
ug_route/165493,OSP:BUSP::16079944,mywcom_route_junction/21944,st_struct_pedestal/68219
ug_route/165494,OSP:BUSP::17032933,st_struct_pedestal/70247,st_struct_pedestal/70445
ug_route/165495,OSP:BUSP:C651414,cabinet/2465,st_struct_pedestal/68903
ug_route/165496,OSP:BUSP::13598964,st_struct_pedestal/70209,mywcom_route_junction/21317
ug_route/165497,OSP:BUSP:C656338,st_struct_pedestal/67814,st_struct_pedestal/69952
ug_route/165498,OSP:BUSP:C659803,st_struct_pedestal/69146,st_struct_pedestal/68266
ug_route/165499,OSP:BUSP::12029114,mywcom_route_junction/21268,mywcom_route_junction/21560
ug_route/165500,OSP:BUSP:C656570,st_struct_pedestal/68548,building/50485
ug_route/165501,OSP:BUSP::9519888,st_struct_pedestal/68221,st_struct_pedestal/68674
ug_route/165502,OSP:BUSP:C657841,pole/41112,mywcom_route_junction/21038
ug_route/165503,OSP:BUSP:C661112,st_struct_buried_splice_location/2635,st_struct_pedestal/68532
ug_route/165504,OSP:BUSP::8382229,st_struct_pedestal/67469,st_struct_pedestal/68599
ug_route/165505,OSP:BUSP::8399818,st_struct_pedestal/67607,st_struct_pedestal/70364
ug_route/165506,OSP:BUSP:C650367,st_struct_pedestal/70659,building/49818
ug_route/165507,OSP:BUSP:C658779,st_struct_pedestal/67818,building/49364
ug_route/165508,OSP:BUSP:C646984,st_struct_pedestal/67633,st_struct_pedestal/68125
ug_route/165509,OSP:BUSP:C659763,st_struct_pedestal/68504,st_struct_pedestal/69249
ug_route/165510,OSP:FBSP:C659873,st_struct_pedestal/68479,building/51145
ug_route/165511,OSP:BUSP:C670271,st_struct_pedestal/67924,st_struct_pedestal/68741
