id,name,location
st_struct_pedestal/91251,PED:SST:C537684,0101000020E61000002075AD50B3F25AC028AB56846D224940
st_struct_pedestal/92554,PED:CPM:C542016,0101000020E6100000D042D1555DF65AC0B00599DE6A244940
st_struct_pedestal/90790,PED:JSPED:C535695,0101000020E610000064710B0548F35AC0B081E6736E264940
pole/52510,POL:PPOLE:C526262,0101000020E61000004CA20280B3F35AC0302B941F4D254940
building/66369,BUILD:BUS:C543944,0101000020E6100000E01B9D025FF45AC0608741381D244940
pole/53522,POL:PPOLE:C534021,0101000020E61000006C6ACB7979F25AC0C0F2D565A3244940
mywcom_route_junction/27788,SPJCT:SPJCT::12458159,0101000020E610000084C4352536F55AC0B043B15991244940
pole/52291,POL:PPOLE:C538867,0101000020E610000070786EC551F25AC00063A4EEF5234940
st_struct_pedestal/90537,PED:SST:C550364,0101000020E610000058408C03D4F15AC058847EED73234940
mywcom_route_junction/27301,SPJCT:SPJCT::12592202,0101000020E6100000E42CB4BF48F45AC0880829597D264940
pole/53384,POL:PPOLE:C548760,0101000020E61000005063076A98F15AC0808AD603C6234940
building/68253,BUILD:BUS:C542246,0101000020E61000009053C2B347F15AC08073223B5B244940
st_struct_pedestal/92943,PED:CPM:C528213,0101000020E6100000D85226869BEC5AC0285B6CE692364940
st_struct_pedestal/93555,PED:CPM:C540112,0101000020E6100000A8DC02117B005BC0B04DFA4D31174940
anchors/14321,ANCH:JOINT:C47324,0101000020E6100000CCFB7446D8F25AC0806D5C1DC5254940
mywcom_route_junction/27467,SPJCT:SPJCT:D8007453,0101000020E610000058BD868AB8F35AC0D843DAB774244940
pole/53624,POL:PPOLE:C540282,0101000020E61000007CD963401BEF5AC0A8C7EAB4800E4940
pole/53446,POL:PPOLE:C523966,0101000020E6100000441DA18F87F45AC05095A8B1D9244940
pole/53737,POL:PPOLE::7753776,0101000020E6100000ECB03F3F02F25AC010A8E1A2AD234940
st_struct_pedestal/91368,PED:JTPED:C570675,0101000020E6100000EC46C9F2C8F45AC0087862DB04264940
building/66655,BUILD:SDU:C532194,0101000020E6100000D0950854BFE35AC040E6411C192D4940
building/66816,BUILD:SDU:C534372,0101000020E6100000604B9660FFE35AC090CA5A6B310E4940
pole/52487,POL:PPOLE:C533860,0101000020E61000008C34AC3AAFF25AC0686349192E264940
building/67404,BUILD:SDU:C527972,0101000020E61000008C1C98C52CE15AC0C07C5860691F4940
